geo_level,id,percent25,percent50,percent75
USA,ES001,623.2,1093.19,2568
USA,IM104,308.8,641.17,1825.6
USA,IM211,759.2,1495.74,4134.4
USA,IM403,114.4,175.57,379.2
USA,IM407,100,168.78,361.6
USA,IM601,25.6,38.8,83.2
USA,IM606,31.2,47.53,100.8
USA,IM616,23.2,36.86,75.2
USA,IM627,36,56.26,115.2
USA,LT105,5.6,8.73,19.2
USA,LT106,5.6,8.73,20.8
USA,LT211,1.6,1.94,4.8
USA,LT213,2.4,3.88,9.6
USA,LT219,5.6,8.73,20.8
USA,LT313,16.8,26.19,57.6
USA,LT315,10.4,15.52,35.2
USA,LT403,68.8,99.91,212.8
USA,LT503,9.6,15.52,40
USA,OV116,54.4,77.6,163.2
USA,OV307,32,46.56,96
USA,OV411,135.2,207.58,473.6
USA,OV412,135.2,207.58,473.6
USA,OV521,422.4,584.91,1155.2
USA,PX207,5523.2,10341.17,24656
USA,PX222,11725.6,22494.3,59483.2
AK,ES001,1067.2,1796.44,3944
AK,IM104,817.6,1950.67,3598.4
AK,IM403,357.6,498.58,924.8
AK,IM407,362.4,531.56,974.4
AK,IM601,79.2,133.86,244.8
AK,IM606,104.8,169.75,284.8
AK,IM627,136.8,187.21,313.6
AK,LT105,24.8,31.04,65.6
AK,LT106,20,24.25,40
AK,LT211,6.4,8.73,14.4
AK,LT213,10.4,12.61,24
AK,LT219,19.2,31.04,52.8
AK,LT313,20.8,59.17,105.6
AK,LT315,16.8,51.41,86.4
AK,LT403,177.6,268.69,465.6
AK,OV116,140,193.03,329.6
AK,OV307,80,118.34,201.6
AK,OV411,384.8,500.52,897.6
AK,OV412,384.8,500.52,897.6
AK,OV521,607.2,883.67,1785.6
AR,ES001,587.2,904.04,1846.4
AR,IM104,132,161.02,265.6
AR,IM403,143.2,176.54,291.2
AR,IM601,32,38.8,65.6
AR,IM606,40,49.47,81.6
AR,IM616,31.2,37.83,64
AR,IM627,45.6,56.26,92.8
AR,LT105,8.8,13.58,22.4
AR,LT106,9.6,14.55,24
AR,LT211,2.4,3.88,6.4
AR,LT213,4.8,5.82,11.2
AR,LT219,9.6,13.58,22.4
AR,LT313,25.6,34.92,59.2
AR,LT315,15.2,23.28,38.4
AR,LT403,73.6,102.82,182.4
AR,LT503,15.2,24.25,41.6
AR,OV116,56,81.48,147.2
AR,OV307,36.8,52.38,89.6
AR,OV521,467.2,605.28,1043.2
AZ,ES001,688,1079.61,2457.6
AZ,IM104,273.6,415.16,1881.6
AZ,IM211,806.4,1182.43,2558.4
AZ,IM403,101.6,128.04,236.8
AZ,IM407,87.2,119.31,240
AZ,IM601,25.6,35.89,70.4
AZ,IM606,29.6,42.68,84.8
AZ,IM616,23.2,35.89,73.6
AZ,IM627,32.8,49.47,96
AZ,LT105,5.6,8.73,14.4
AZ,LT106,6.4,8.73,16
AZ,LT211,1.6,1.94,3.2
AZ,LT213,3.2,4.85,8
AZ,LT219,5.6,6.79,11.2
AZ,LT313,12.8,19.4,35.2
AZ,LT315,9.6,13.58,24
AZ,LT403,64,81.48,160
AZ,LT503,14.4,17.46,28.8
AZ,OV116,51.2,64.02,128
AZ,OV307,29.6,38.8,73.6
AZ,OV411,116.8,144.53,307.2
AZ,OV412,116.8,144.53,307.2
AZ,OV521,402.4,541.26,1044.8
AZ,PX207,3582.4,5792.84,13099.2
CA,ES001,1016.8,1799.35,4200
CA,IM104,488.8,1039.84,2723.2
CA,IM211,1032.8,3088.48,7932.8
CA,IM403,109.6,146.47,342.4
CA,IM407,97.6,128.04,342.4
CA,IM601,26.4,34.92,75.2
CA,IM606,30.4,41.71,84.8
CA,IM616,23.2,31.04,62.4
CA,IM627,35.2,47.53,100.8
CA,LT105,5.6,8.73,19.2
CA,LT106,6.4,8.73,19.2
CA,LT211,1.6,1.94,4.8
CA,LT213,2.4,2.91,6.4
CA,LT219,6.4,7.76,16
CA,LT313,16,22.31,52.8
CA,LT315,9.6,13.58,32
CA,LT403,76,105.73,212.8
CA,LT503,10.4,12.61,35.2
CA,OV116,59.2,78.57,163.2
CA,OV307,32,44.62,83.2
CA,OV411,119.2,165.87,400
CA,OV412,119.2,165.87,400
CA,OV521,424.8,585.88,1104
CA,PX207,5415.2,9883.33,22161.6
CO,ES001,740,1468.58,3612.8
CO,IM104,445.6,887.55,2136
CO,IM403,140,207.58,398.4
CO,IM407,124,199.82,352
CO,IM601,28,41.71,86.4
CO,IM606,37.6,54.32,107.2
CO,IM616,30.4,40.74,97.6
CO,IM627,44,62.08,118.4
CO,LT105,4.8,6.79,12.8
CO,LT106,5.6,7.76,14.4
CO,LT211,1.6,1.94,6.4
CO,LT213,2.4,4.85,9.6
CO,LT219,4.8,6.79,12.8
CO,LT313,16,19.4,36.8
CO,LT315,9.6,11.64,30.4
CO,LT403,79.2,107.67,216
CO,OV116,62.4,84.39,171.2
CO,OV307,37.6,50.44,97.6
CO,OV411,161.6,233.77,475.2
CO,OV412,161.6,233.77,475.2
CO,OV521,450.4,609.16,1129.6
CO,PX207,4375.2,9764.99,22768
CT,ES001,1026.4,1494.77,3318.4
CT,IM104,220.8,360.84,1054.4
CT,IM211,728.8,1082.52,3028.8
CT,IM403,148,236.68,481.6
CT,IM407,133.6,196.91,392
CT,IM601,32.8,40.74,91.2
CT,IM606,34.4,62.08,124.8
CT,IM616,36.8,57.23,97.6
CT,IM627,40,72.75,145.6
CT,LT105,5.6,7.76,14.4
CT,LT106,6.4,8.73,19.2
CT,LT211,1.6,2.91,6.4
CT,LT213,2.4,3.88,9.6
CT,LT219,7.2,9.7,19.2
CT,LT313,16,22.31,48
CT,LT315,10.4,13.58,28.8
CT,LT403,85.6,124.16,256
CT,OV116,66.4,85.36,166.4
CT,OV307,42.4,52.38,107.2
CT,OV411,196,270.63,486.4
CT,OV412,196,270.63,486.4
CT,OV521,469.6,651.84,1188.8
CT,PX207,6321.6,11244.24,23395.2
DE,ES001,637.6,998.13,2131.2
DE,IM104,145.6,481.12,2107.2
DE,IM403,112.8,150.35,265.6
DE,IM601,23.2,33.95,64
DE,IM606,28.8,44.62,86.4
DE,IM627,40,54.32,110.4
DE,LT211,1.6,1.94,6.4
DE,LT403,60,86.33,156.8
DE,OV116,46.4,68.87,126.4
DE,OV307,28,37.83,76.8
DE,OV411,113.6,176.54,310.4
DE,OV412,113.6,176.54,310.4
DE,PX207,4537.6,10458.54,31342.4
FL,ES001,1050.4,1714.96,3819.2
FL,IM104,480.8,961.27,2729.6
FL,IM211,770.4,1142.66,3403.2
FL,IM403,96,140.65,337.6
FL,IM407,84,166.84,366.4
FL,IM601,20,26.19,64
FL,IM606,23.2,30.07,73.6
FL,IM616,17.6,22.31,54.4
FL,IM627,26.4,36.86,84.8
FL,LT105,5.6,7.76,16
FL,LT106,5.6,8.73,17.6
FL,LT211,1.6,1.94,3.2
FL,LT213,2.4,2.91,6.4
FL,LT219,4.8,6.79,16
FL,LT313,14.4,22.31,49.6
FL,LT315,8.8,14.55,32
FL,LT403,62.4,86.33,174.4
FL,LT503,10.4,17.46,48
FL,OV116,48.8,69.84,140.8
FL,OV307,27.2,37.83,76.8
FL,OV411,142.4,205.64,425.6
FL,OV412,142.4,205.64,425.6
FL,OV521,388.8,507.31,969.6
FL,PX207,4919.2,10883.4,28824
GA,ES001,834.4,1438.51,3672
GA,IM104,408.8,743.99,1758.4
GA,IM211,907.2,1656.76,4072
GA,IM403,129.6,199.82,411.2
GA,IM407,110.4,183.33,444.8
GA,IM601,25.6,37.83,91.2
GA,IM606,32,49.47,105.6
GA,IM616,27.2,41.71,92.8
GA,IM627,36,56.26,113.6
GA,LT105,5.6,11.64,27.2
GA,LT106,6.4,11.64,27.2
GA,LT211,1.6,2.91,6.4
GA,LT213,3.2,5.82,12.8
GA,LT219,5.6,9.7,27.2
GA,LT313,16,31.04,73.6
GA,LT315,11.2,23.28,48
GA,LT403,78.4,111.55,243.2
GA,OV116,58.4,80.51,179.2
GA,OV307,34.4,48.5,105.6
GA,OV411,162.4,261.9,537.6
GA,OV412,162.4,261.9,537.6
GA,OV521,444,645.05,1308.8
GA,PX207,6544,11145.3,25766.4
